;RowNum,LocalDate,LocalTime,{[PLC]M2.MOD_NUM},{[PLC]M2.DIFF_TEST_RATE},{[PLC]M2.GL_PASS},{[PLC]M2.DIFF_PASS},{[PLC]M2.GL_FAIL},{[PLC]M2.DIFF_FAIL},{[PLC]M2.FILTER_SN},{[PLC]M2.FILTER_NAME},{[PLC]M2.FILTER_LOT}
1,7/23/2024,11:46:22,2,12.33,1,1,0,0,12,880198,424374
2,7/23/2024,15:48:59,2,12.7,1,1,0,0,8,880198,424374
